wavelength (nm),sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,More Wavelength,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18
487,0.059458203,0.084784837,0.083971451,0.145582811,0.17679031,0.217657064,0.272909708,0.231452951,0.114061013,491.5,0.061058748,0.074982541,0.105387435,0.271254778,0.315729415,0.208394713,0.061194293,0.065318623,0.105653399
487.8,0.058253365,0.084922742,0.084804262,0.147458641,0.179233194,0.222277397,0.279209801,0.237415557,0.116539534,492.4,0.060942534,0.075199302,0.106798973,0.276720882,0.322662429,0.211705841,0.059846698,0.065135249,0.10724251
488.7,0.057376127,0.085505341,0.085511636,0.149752129,0.182033378,0.226327256,0.285380215,0.243515719,0.119321869,493.3,0.060692882,0.075443982,0.107825689,0.281502541,0.329778186,0.215224212,0.058825159,0.065292074,0.108832131
489.5,0.057630049,0.086613648,0.086478781,0.152221443,0.185658008,0.232075669,0.292311633,0.249411709,0.122255853,494.2,0.060672297,0.075897709,0.109655301,0.287940596,0.336787668,0.220291221,0.05777283,0.066421294,0.110575871
490.4,0.057489046,0.08703563,0.086760999,0.155705725,0.190241949,0.237102766,0.299316794,0.256633847,0.125426632,495.1,0.060179306,0.07655066,0.110872909,0.293487438,0.343317693,0.224655234,0.056692538,0.067206185,0.112377995
491.2,0.058030075,0.088522081,0.087786557,0.158323994,0.194346757,0.242766645,0.306744138,0.263879109,0.128482936,496,0.06075894,0.077983122,0.113882504,0.300228109,0.351440804,0.22951262,0.056553283,0.067992286,0.115511537
492.1,0.057426393,0.089117458,0.087966975,0.160361166,0.198241137,0.246753478,0.31356989,0.269805412,0.130499163,496.9,0.060667836,0.079084122,0.115390122,0.305282047,0.35883616,0.233193705,0.055748818,0.068909291,0.117967714
492.9,0.057755518,0.090980477,0.088563728,0.163230725,0.201887485,0.252935747,0.321537405,0.276429988,0.133806814,497.8,0.061388234,0.080030046,0.117628649,0.311061523,0.366283714,0.237988336,0.055279481,0.069517166,0.121086468
493.8,0.057254549,0.091764178,0.089374226,0.166324976,0.206059003,0.257624419,0.32841982,0.28225995,0.136822991,498.7,0.061889774,0.08007969,0.119015296,0.317184724,0.372771057,0.242842801,0.055320622,0.070114104,0.123662368
494.6,0.057350627,0.092392184,0.089641657,0.169992041,0.210218372,0.263361525,0.336183153,0.289489865,0.140375426,499.6,0.062178604,0.081744218,0.121110091,0.324031086,0.379687033,0.248577104,0.055535653,0.070319857,0.126177125
495.5,0.058185289,0.093522068,0.091481572,0.173201279,0.215295929,0.268054633,0.343709754,0.295736244,0.143425189,500.5,0.062883956,0.082989045,0.123011886,0.330282815,0.387888937,0.253850805,0.056315791,0.071403445,0.128670528
496.4,0.058380148,0.094438289,0.091975133,0.176278363,0.219414068,0.274067071,0.350568977,0.302062814,0.146226839,501.4,0.063475658,0.084220106,0.125049889,0.336699932,0.396043247,0.258028745,0.055518344,0.07307523,0.130905815
497.2,0.058820604,0.095965367,0.093659607,0.179458064,0.223591156,0.279893214,0.357582218,0.308357475,0.148933792,502.3,0.064503027,0.085127852,0.126814823,0.343570319,0.405119133,0.262413131,0.055186809,0.074821861,0.133992179
498.1,0.058834069,0.097495671,0.094301989,0.183063863,0.227994876,0.285922102,0.364761146,0.314617255,0.151981914,503.2,0.064486603,0.085762514,0.129200863,0.350897955,0.412579554,0.266471697,0.054551285,0.076006417,0.136462752
498.9,0.059105731,0.098292093,0.095221025,0.186996831,0.232971683,0.292020944,0.37240566,0.321110656,0.155109933,504.1,0.06456175,0.087111701,0.131099933,0.357712721,0.419477533,0.271511932,0.054496396,0.076707596,0.139178517
499.8,0.059211368,0.10008354,0.096478954,0.190956904,0.238263446,0.298161009,0.380564021,0.328283429,0.158686186,505,0.065435462,0.088164742,0.133814396,0.363691015,0.426510026,0.276494871,0.054559918,0.077503468,0.141914775
